GeoLocation,_version_,all_locations,buid,city_exact,city_slab_exact,company_buid_slab,company_buid_slab_exact,company_exact,company_member,company_slab_exact,country_ac,country_exact,country_short_exact,country_slab_exact,date_added,date_new,date_updated,django_ct,django_id,federal_contractor,guid,id,is_posted,lat_long_buid_slab_exact,location_exact,network,on_sites,onet_exact,other,reqid,salted_date,score,state_short,state_short_exact,title_exact,title_slab_exact,title_slug
"42.10149, -88.01687",1.78078E+18,"'60004', 'Arlington Heights', 'Illinois', 'IL', 'Arlington Heights, Illinois', 'United States'",52603,Arlington Heights,"arlington-heights/illinois/usa/jobs::Arlington Heights, IL",Deloitte::52603,Deloitte::52603,Deloitte,TRUE,deloitte/careers::Deloitte,United States,United States,USA,usa/jobs::United States,2023-10-26T01:02:27.34Z,2023-10-26T05:57:25Z,2023-10-26T05:57:25Z,seo.joblisting,0,TRUE,3A2CF9C068FC466AA13035A2A141B38B,seo.joblisting.3A2CF9C068FC466AA13035A2A141B38B,FALSE,42.10149::-88.01687::52603,"Arlington Heights, IL",TRUE,0,"'15121100', '15129909', '13111100'",{},163231,2023-10-27T01:13:14.735Z,1.4439147,IL,IL,Functional Module Lead - Oracle HCM Payroll,functional-module-lead-oracle-hcm-payroll/jobs-in::Functional Module Lead - Oracle HCM Payroll,functional-module-lead-oracle-hcm-payroll
"40.793716, -74.164894",1.78082E+18,"'07109', 'BELLEVILLE', 'New Jersey', 'NJ', 'BELLEVILLE, New Jersey', 'United States'",44565,BELLEVILLE,"belleville/new-jersey/usa/jobs::Belleville, NJ",RWJBarnabas Health::44565,RWJBarnabas Health::44565,RWJBarnabas Health,FALSE,rwjbarnabas-health/careers::RWJBarnabas Health,United States,United States,USA,usa/jobs::United States,2023-10-26T12:47:38.771Z,2023-10-26T17:42:00Z,2023-10-26T17:42:00Z,seo.joblisting,0,FALSE,CB36CEB525D44993B6BE406AA72A3A35,seo.joblisting.CB36CEB525D44993B6BE406AA72A3A35,FALSE,40.793716::-74.164894::44565,"Belleville, NJ",TRUE,0,"'29114100', '29114103', '29114101'",{},None,2023-10-27T01:13:12.388Z,1.4439116,NJ,NJ,Registered Nurse (RN) Emergency Department (Evenings),registered-nurse-rn-emergency-department-evenings/jobs-in::Registered Nurse (RN) Emergency Department (Evenings),registered-nurse-rn-emergency-department-evenings
"38.217484, -85.7044",1.78078E+18,"'40287', 'Louisville', 'Kentucky', 'KY', 'Louisville, Kentucky', 'United States'",57556,Louisville,"louisville/kentucky/usa/jobs::Louisville, KY",Insight Global::57556,Insight Global::57556,Insight Global,TRUE,insight-global/careers::Insight Global,United States,United States,USA,usa/jobs::United States,2023-10-26T01:19:57.596Z,2023-10-26T06:12:07Z,2023-10-26T06:12:07Z,seo.joblisting,0,TRUE,5CF81DDAF1CA497CAC6D63844EB3E6B9,seo.joblisting.5CF81DDAF1CA497CAC6D63844EB3E6B9,FALSE,38.217484::-85.7044::57556,"Louisville, KY",TRUE,0,"'49904100', '17211200', '17214100'",{},LOU-660358,2023-10-27T01:13:09.068Z,1.4439068,KY,KY,Project Specialist/Industrial Mechanic,project-specialistindustrial-mechanic/jobs-in::Project Specialist/Industrial Mechanic,project-specialistindustrial-mechanic
"37.536358, -77.45762",1.78079E+18,"'23274', 'Richmond', 'Virginia', 'VA', 'Richmond, Virginia', 'United States'",55780,Richmond,"richmond/virginia/usa/jobs::Richmond, VA",John Deere::55780,John Deere::55780,John Deere,TRUE,john-deere/careers::John Deere,United States,United States,USA,usa/jobs::United States,2023-10-26T03:42:12.274Z,2023-10-26T08:41:09Z,2023-10-26T08:41:09Z,seo.joblisting,0,TRUE,C77E0E15353242ED98DAB7C421922519,seo.joblisting.C77E0E15353242ED98DAB7C421922519,FALSE,37.536358::-77.45762::55780,"Richmond, VA",TRUE,0,"'99999900', '99999999'",{},103319,2023-10-27T01:13:07.85Z,1.4439051,VA,VA,Part-Time Student-Supply Management-Dubuque IA-Partial Remote,part-time-student-supply-management-dubuque-ia-partial-remote/jobs-in::Part-Time Student-Supply Management-Dubuque IA-Partial Remote,part-time-student-supply-management-dubuque-ia-partial-remote
None,1.78078E+18,"', ', 'United States'",18091,None,"none/none/usa/jobs::Virtual, USA",Red Hat::18091,Red Hat::18091,Red Hat,TRUE,red-hat/careers::Red Hat,United States,United States,USA,usa/jobs::United States,2023-10-26T02:24:40.982Z,2023-10-26T07:18:03Z,2023-10-26T07:18:03Z,seo.joblisting,0,TRUE,2385D1F719194CCA85AB9D7C84F9EC9C,seo.joblisting.2385D1F719194CCA85AB9D7C84F9EC9C,FALSE,::::18091,"Virtual, USA",TRUE,0,"'15125300', '15125200', '15129908'",{},100359,2023-10-27T01:13:07.57Z,1.4439048,None,None,Senior Software Quality Engineer,senior-software-quality-engineer/jobs-in::Senior Software Quality Engineer,senior-software-quality-engineer
"34.74342, -92.33653",1.78079E+18,"'72205', 'Little Rock', 'Arkansas', 'AR', 'Little Rock, Arkansas', 'United States'",26026,Little Rock,"little-rock/arkansas/usa/jobs::Little Rock, AR",Intel::26026,Intel::26026,Intel,TRUE,intel/careers::Intel,United States,United States,USA,usa/jobs::United States,2023-10-26T04:23:24.437Z,2023-10-26T09:20:43Z,2023-10-26T09:20:43Z,seo.joblisting,0,TRUE,39F3F89162EE4EEA95F3285DF53D908F,seo.joblisting.39F3F89162EE4EEA95F3285DF53D908F,FALSE,34.74342::-92.33653::26026,"Little Rock, AR",TRUE,0,"'13111100', '15203100', '15121100'",{},JR0251127,2023-10-27T01:13:06.817Z,1.4439037,AR,AR,Business Analyst:  Procure-to-Pay Supplier Master Data,business-analyst-procure-to-pay-supplier-master-data/jobs-in::Business Analyst:  Procure-to-Pay Supplier Master Data,business-analyst-procure-to-pay-supplier-master-data
"36.758003, -90.39896",1.78082E+18,"'63901', 'Poplar Bluff', 'Missouri', 'MO', 'Poplar Bluff, Missouri', 'United States'",47213,Poplar Bluff,"poplar-bluff/missouri/usa/jobs::Poplar Bluff, MO","Veterans Affairs, Veterans Health Administration::47213","Veterans Affairs, Veterans Health Administration::47213","Veterans Affairs, Veterans Health Administration",FALSE,"veterans-affairs-veterans-health-administration/careers::Veterans Affairs, Veterans Health Administration",United States,United States,USA,usa/jobs::United States,2023-10-26T12:07:40.848Z,2023-10-26T17:02:19Z,2023-10-26T17:02:19Z,seo.joblisting,0,FALSE,5E78C157083E4A889CD9F668B606562D,seo.joblisting.5E78C157083E4A889CD9F668B606562D,FALSE,36.758003::-90.39896::47213,"Poplar Bluff, MO",TRUE,0,"'11911100', '21102300', '11915100'",{},CBSS-12177444-24-RH,2023-10-27T01:13:04.296Z,1.4439003,MO,MO,Recreation Therapist - Whole Health Program Manager,recreation-therapist-whole-health-program-manager/jobs-in::Recreation Therapist - Whole Health Program Manager,recreation-therapist-whole-health-program-manager
"29.925886, -95.07032",1.78078E+18,"'77532', 'CROSBY', 'Texas', 'TX', 'CROSBY, Texas', 'United States'",52697,CROSBY,"crosby/texas/usa/jobs::Crosby, TX",CVS Health::52697,CVS Health::52697,CVS Health,TRUE,cvs-health/careers::CVS Health,United States,United States,USA,usa/jobs::United States,2023-10-26T01:43:14.52Z,2023-10-26T06:35:28Z,2023-10-26T06:35:28Z,seo.joblisting,0,TRUE,5F8D21242D3341BBA70763C64420FB78,seo.joblisting.5F8D21242D3341BBA70763C64420FB78,FALSE,29.925886::-95.07032::52697,"Crosby, TX",TRUE,0,"'41101100', '35101200', '41101200'",{},R0062255,2023-10-27T01:13:02.036Z,1.4438971,TX,TX,Shift Supervisor Trainee,shift-supervisor-trainee/jobs-in::Shift Supervisor Trainee,shift-supervisor-trainee
"46.80895, -100.72246",1.78078E+18,"'58507', 'Bismarck', 'North Dakota', 'ND', 'Bismarck, North Dakota', 'United States'",56221,Bismarck,"bismarck/north-dakota/usa/jobs::Bismarck, ND",Guidehouse::56221,Guidehouse::56221,Guidehouse,TRUE,guidehouse/careers::Guidehouse,United States,United States,USA,usa/jobs::United States,2023-10-26T02:29:12.827Z,2023-10-26T07:24:35Z,2023-10-26T07:24:35Z,seo.joblisting,0,TRUE,8ADA0B6A0BD14C4E9326885DB8324301,seo.joblisting.8ADA0B6A0BD14C4E9326885DB8324301,FALSE,46.80895::-100.72246::56221,"Bismarck, ND",TRUE,0,"'15121200', '15129908', '15125200'",{},14368,2023-10-27T01:12:59.877Z,1.4438941,ND,ND,Security Architect,security-architect/jobs-in::Security Architect,security-architect
"38.83949, -104.769714",1.78079E+18,"'80932', 'Colorado Springs', 'Colorado', 'CO', 'Colorado Springs, Colorado', 'United States'",56669,Colorado Springs,"colorado-springs/colorado/usa/jobs::Colorado Springs, CO",Edward Jones::56669,Edward Jones::56669,Edward Jones,TRUE,edward-jones/careers::Edward Jones,United States,United States,USA,usa/jobs::United States,2023-10-26T04:27:14.719Z,2023-10-26T09:25:00Z,2023-10-26T09:25:00Z,seo.joblisting,0,FALSE,D0CAD4C970DD4A318FAB6E8A348A1E8F,seo.joblisting.D0CAD4C970DD4A318FAB6E8A348A1E8F,FALSE,38.83949::-104.769714::56669,"Colorado Springs, CO",TRUE,0,"'13205200', '41303100', '99999999'",{},339044692,2023-10-27T01:12:59.59Z,1.4438937,CO,CO,"Financial Advisor - Colorado Springs, CO","financial-advisor-colorado-springs-co/jobs-in::Financial Advisor - Colorado Springs, CO",financial-advisor-colorado-springs-co
